model,epoch,train_ppl,val_ppl,epoch_wall_s,train_s,val_s,cumulative_wall_s,tokens_per_sec
GNA,1,808.0100,347.9653,4.22,4.04,0.18,4.22,226915
GNA,2,289.0010,256.2383,3.90,3.75,0.15,8.13,244561
GNA,3,223.5619,228.2217,3.95,3.81,0.14,12.08,240811
GNA,4,194.7496,214.5081,3.91,3.77,0.14,15.99,243502
GNA,5,177.9730,206.8735,3.95,3.80,0.15,19.94,241315
GNA,6,167.2051,203.2560,3.93,3.78,0.14,23.87,242425
GNA,7,160.0656,199.6604,3.98,3.83,0.15,27.85,239503
GNA,8,154.9490,198.5704,3.96,3.81,0.15,31.81,240747
GNA,9,151.5488,198.2262,3.99,3.85,0.14,35.80,238579
GNA,10,149.2937,197.1488,4.00,3.86,0.14,39.80,237937
Transformer,1,807.4119,492.4947,8.30,7.95,0.35,8.30,115392
Transformer,2,396.9651,319.8040,8.18,7.85,0.34,16.48,116931
Transformer,3,275.0327,246.5344,8.16,7.83,0.33,24.64,117206
Transformer,4,216.1396,211.7808,8.15,7.81,0.33,32.79,117437
Transformer,5,180.8745,189.3159,8.21,7.88,0.33,41.00,116473
Transformer,6,156.6874,173.8796,8.29,7.96,0.33,49.29,115290
Transformer,7,139.5010,163.6403,8.17,7.84,0.33,57.46,117093
Transformer,8,127.0414,156.6281,8.17,7.83,0.34,65.63,117176
Transformer,9,118.2563,152.1954,8.26,7.93,0.33,73.89,115771
Transformer,10,113.0603,149.5766,8.21,7.85,0.36,82.10,116890
